experiment,sample,substrate,abs,e,buffer,pH,T,[enz],[h2o2],[sub]
28,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,8.251
27,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,1.031
27,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,2.063
27,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,3.094
27,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
147,1,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,35.244,10.816
147,2,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,35.244,3.028
147,3,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,35.244,0.865
147,4,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,35.244,0.216
147,5,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,24.964,10.816
147,6,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,14.685,10.816
147,7,BnOH,285,1.23,Pyrophosphate,8.02,25,0.021,5.14,10.816
47,1,4OMe-BnOH,300,7.53,Boric,9.4,25,0.27,82.5,1.529
47,2,4OMe-BnOH,300,7.53,Boric,9.4,25,0.27,82.5,3.057
47,3,4OMe-BnOH,300,7.53,Boric,9.4,25,0.27,82.5,4.586
47,4,4OMe-BnOH,300,7.53,Boric,9.4,25,0.27,82.5,6.114
30,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.095
30,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.191
30,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.286
30,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,0.381
24,1,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,2.063
24,2,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,4.125
24,3,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,6.188
24,4,4OMe-BnOH,300,7.53,Phosphate,7.0,40,0.0,82.5,8.251
151,1,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,35.244,10.816
151,2,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,35.244,3.028
151,3,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,35.244,0.865
151,4,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,35.244,0.216
151,5,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,24.964,10.816
151,6,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,14.685,10.816
151,7,BnOH,285,1.23,Pyrophosphate,5.47,25,0.021,5.14,10.816
138,1,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,73.424,10.816
138,2,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,73.424,3.028
138,3,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,73.424,0.865
138,4,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,73.424,0.216
138,5,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,36.712,10.816
138,6,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,7.342,10.816
138,7,BnOH,285,1.23,Pyrophosphate,8.16,25,0.034,3.671,10.816
143,1,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,35.244,10.816
143,2,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,35.244,3.028
143,3,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,35.244,0.865
143,4,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,35.244,0.216
143,5,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,24.964,10.816
143,6,BnOH,285,1.23,Pyrophosphate,9.73,25,0.021,14.685,10.816
